Name,Description
MATERIAL AISLANTE,"Material que impide la propagación de algún fenómeno físico, (Aislante eléctrico, material dieléctrico que se emplea para impedir el paso de cargas eléctricas. Aislante térmico, material que impide el paso de calor)."
MATERIAL CONDUCTOR,Cuerpo por el que circula con facilidad la corriente eléctrica.
MEDIA TENSIÓN,Valores de tensión comprendidos entre 11.400 voltios y 34.500 voltios.
MÉTODO,"Modo de decir o hacer con orden una cosa. Procedimiento o técnica para realizar un análisis, un estudio o una actividad."
MÉTODO ELECTROGEOMÉTRICO,"Procedimiento que permite establecer cual es el volumen de cubrimiento de protección contra rayos de una estructura para una corriente dada, según la posición y la altura de la estructura considerada como pararrayos."
METROLOGÍA,Ciencia de la medición. Incluye aspectos teóricos y prácticos.
MODELO,"Procedimiento matemático que permite simular la evolución de variables y propiedades de un sistema, durante el desarrollo de un fenómeno físico o químico. Representación abstracta de un sistema."
MONITOR DE AISLAMIENTO,"Es un aparato o conjunto de aparatos que vigila la impedancia balanceada o no balanceada de cada fase de un circuito aislado de tierra y equipado con un circuito de prueba que acciona una alarma cuando la corriente de fuga supere el valor de referencia, sin disparar el circuito."
MONITOREO DEL CONDUCTOR DE TIERRA,Acción de verificar la continuidad del conductor de puesta a tierra de las instalaciones.
MONOFÁSICO,Suministro de energía eléctrica que se realiza con una fase y un neutro (110 voltios).
MOTOR ELÉCTRICO,"El motor eléctrico permite la transformación de energía eléctrica en energía mecánica, esto se logra mediante la rotación de un campo magnético alrededor de una espira o bobinado que toma diferentes formas."
MUERTE APARENTE O MUERTE CLINICA,Estado que se presenta cuando una persona deja de respirar y/o su corazón no bombea sangre.
MUERTO,"Ser sin vida. También se aplica a un dispositivo enterrado en el suelo, cuyo fin es servir de punto de anclaje fijo."
MUESTRA,"Grupo de unidades extraídas de un lote el cual sirve para obtener la información necesaria, que permita apreciar una o más características de ese lote, además servirán de base para una decisión sobre el mismo o sobre el proceso que lo produjo."
NECROSIS ELÉCTRICA,Tipo de quemadura con muerte de tejidos.
NEUTRO,"Conductor eléctrico conectado intencionalmente a una puesta a tierra, bien sólidamente o a través de una impedancia limitadora."
NIVEL DE RIESGO,"Equivale a grado de riesgo. Es el resultado de la valoración conjunta de la probabilidad de ocurrencia de los accidentes, de la gravedad de sus efectos y de la vulnerabilidad del medio."
NIVEL DE TENSIÓN,"Los sistemas de Transmisión Regional y/o Distribución Local se clasifican por niveles, en función de la tensión nominal de operación, según la siguiente definición:

 NIVEL DE TENSIÓN I: Sistemas con tensión nominal menor a 1 kV

 NIVEL DE TENSIÓN II: Sistemas con tensión nominal mayor o igual a 1 kV y menor de 30 kV.

 NIVEL DE TENSIÓN III: Sistemas con tensión nominal mayor o igual a 30 kV y menor de 62 kV. 

 NIVEL DE TENSIÓN IV: Sistemas con tensión nominal mayor o igual a 62 kV.
"
NODO,Parte de un circuito en el cual dos o más elementos tienen una conexión común.
NOMINAL,"Término aplicado a una característica de operación, indica los límites de diseño de esa característica para los cuales presenta las mejores condiciones de operación. Los límites siempre están asociados a una norma técnica."
NORMA DE SEGURIDAD,Toda acción encaminada a evitar un accidente.
NORMA REGIONAL,Documento adoptado por una organización regional de normalización y que se pone a disposición del público.
NORMA TÉCNICA,"Documento aprobado por una institución reconocida, que prevé, para un uso común y repetido, reglas, directrices o características para los productos o los procesos y métodos de producción conexos, servicios o procesos, cuya observancia no es obligatoria."
NORMA TÉCNICA ARMONIZADA,"Documento aprobado por organismos de normalización de diferentes países, que establece sobre un mismo objeto, la intercambiabilidad de productos, procesos y servicios, o el acuerdo mutuo sobre los resultados de ensayos, o sobre la información suministrada de acuerdo con estas normas."
NORMA TÉCNICA COLOMBIANA (NTC),Norma técnica aprobada o adoptada como tal por el organismo nacional de normalización.
NORMA TÉCNICA EXTRANJERA,"Norma que se toma en un país como referencia directa o indirecta, pero que fue emitida por otro país."
NORMA TÉCNICA INTERNACIONAL,"Documento emitido por una organización internacional de normalización, que se pone a disposición del público."
NORMALIZAR,Establecer un orden en una actividad específica.
OBJETIVOS LEGÍTIMOS,"Entre otros, la garantía y la seguridad de la vida y la salud humana, animal y vegetal, de su medio ambiente y la prevención de las prácticas que puedan inducir a error a los consumidores, incluyendo asuntos relativos a la identificación de bienes o servicios, considerando entre otros aspectos, cuando corresponda a factores fundamentales de tipo climático, geográfico, tecnológico o de infraestructura o justificación científica."
OHMIO,"Unidad de medida de la resistencia eléctrica. Equivale a la resistencia al paso de electricidad que produce un material por el cual circula un flujo de corriente de un amperio, cuando está sometido a una diferencia de potencial de un voltio."
OPERADOR DE RED,"Empresa de Servicios Públicos encargada de la planeación, de la expansión y de las inversiones, operación y mantenimiento de todo o parte de un Sistema de Transmisión Regional o un Sistema de Distribución Local."
ORGANISMO DE ACREDITACIÓN,"Entidad gubernamental que acredita y supervisa los organismos de certificación, los laboratorios de pruebas y ensayo y de metrología que hagan parte del sistema nacional de normalización, certificación y metrología."
ORGANISMO DE CERTIFICACIÓN,"Entidad Imparcial, pública o privada, nacional, extranjera o internacional, que posee la competencia y la confiabilidad necesarias para administrar un sistema de certificación, consultando los intereses generales."
ORGANISMO DE INSPECCIÓN,"Entidad que ejecuta actividades de medición, ensayo o comparación con un patrón o documento de referencia de un proceso, un producto, una instalación o una organización y confrontar los resultados con unos requisitos especificados."
ORGANISMO NACIONAL DE NORMALIZACIÓN,"Entidad reconocida por el gobierno nacional, cuya función principal es la elaboración, adopción y publicación de las normas técnicas nacionales y la adopción como tales de las normas elaboradas por otros entes."
PARARRAYOS,"Elemento metálico resistente a la corrosión, cuya función es interceptar los rayos que podrían impactar directamente sobre la instalación a proteger. Más técnicamente se denomina terminal de captación."
PATRÓN,"Medida materializada, aparato de medición o sistema de medición destinado a definir, realizar, conservar o reproducir una unidad o uno o varios valores conocidos de una magnitud para trasmitirlos por comparación a otros instrumentos de medición."
PCB,"Bifenilo policlorado, aquellos clorobifenilos que tienen la fórmula molecular C12H10-nCln donde n es mayor que 1. Conocido comúnmente como Askarel."
PELIGRO,"Condición no controlada que tiene el potencial de causar lesiones a personas, daños a instalaciones o afectaciones al medio ambiente."
PELIGRO INMINENTE,"Para efectos de interpretación y aplicación del RETIE, alto riesgo será equivalente a peligro inminente; entendido como aquella condición del entorno o práctica irregular, cuya frecuencia esperada y severidad de sus efectos puedan comprometer fisiológicamente el cuerpo humano en forma grave (quemaduras, impactos, paro cardíaco, paro respiratorio, fibrilación o pérdida de funciones); o afectar el entorno de la instalación eléctrica (contaminación, incendio o explosión). En general, se puede presentar por:
• Deficiencias en la instalación eléctrica.
• Práctica indebida de la electrotecnia.
"
PERSONA,"Ser racional libre, autónomo, con autoridad propia, orientado a fines específicos, que por el más íntimo dominio de su libertad es dueña de sí misma y, en consecuencia, responsable de sus propias acciones. La persona se define en el orden práctico como ser libre, que en cuanto tiene unos fines que cumplir, es un ser responsable. El destino de la persona humana, por tanto, está inscrito en su propia naturaleza y no es otro que el de llevar a su máxima perfección las potencias que lo constituyen como persona humana. Sus rasgos característicos son: la individualidad, la racionalidad y la dignidad. // El individuo humano, hecho a semejanza de Dios, no algo sino alguien, una unidad de espíritu y materia, alma y cuerpo, capaz de conocimiento."
PERSONA CALIFICADA,"Persona natural que demuestre su formación profesional en el conocimiento de la electrotecnia y los riesgos asociados a la electricidad y además, cuente con matrícula profesional, certificado de inscripción profesional, o certificado de matricula profesional, que según la normatividad legal vigente, lo autorice o acredite para el ejercicio de la profesión."
PERSONA JURIDICA,"Sujeto susceptible de adquirir y ejercer derechos y de aceptar y cumplir obligaciones, ya lo sea por sí o por representante."
PERTURBACIÓN ELECTROMAGNÉTICA,Cualquier fenómeno electromagnético que puede degradar las características de desempeño de un equipo o sistema.
PISO CONDUCTIVO,Arreglo de material conductivo de un lugar que sirve como medio de conexión eléctrica entre personas y objetos para prevenir la acumulación de cargas electrostáticas.
PLANO ELECTRICO,Representación gráfica de las características de diseño y las especificaciones para construcción o montaje de equipos y obras eléctricas.
POTENCIA ACTIVA,Potencia total absorbida por un receptor.
POTENCIA APARENTE,Potencia útil absorbida por un receptor.
POTENCIA DEMANDADA,Aquella alcanzada por un suministro durante un período determinado.
POTENCIA ELÉCTRICA,"Tasa de producción, transmisión o utilización de energía eléctrica, generalmente expresada en vatios."
POTENCIA INSTALADA,"Suma de potencias nominales de máquinas de la misma clase (generadores, transformadores, convertidores, motores) en una instalación eléctrica."
POTENCIA MÁXIMA,Valor máximo de la carga que puede ser mantenida durante tiempo especificado. Potencia útil absorbida por un receptor.
POTENCIA REAL,Parte de la potencia aparente que produce trabajo. Comercialmente se mide en KW.
POTENCIA REAL,Parte de la potencia aparente que produce trabajo. Comercialmente se mide en KW.
PRECAUCIÓN,Actitud de cautela para evitar o prevenir los daños que puedan presentarse al ejecutar una acción.
PREVENCIÓN,"Evaluación predictiva de los riesgos y sus consecuencias. Conocimiento a priori para controlar los riesgos. Acciones para eliminar la probabilidad de un accidente.
"
PREVISIÓN,"Anticipación y adopción de medidas ante la posible ocurrencia de un suceso, en función de los indicios observados y de la experiencia."
PRIMEROS AUXILIOS,"Todos los cuidados inmediatos y adecuados, pero provisionales, que se prestan a alguien accidentado o con enfermedad repentina, para conservarle la vida."
PROCESO DE TRANSFORMACIÓN,"Proceso en el cual los parámetros de la potencia eléctrica son modificados, por los equipos de una subestación."
PRODUCTO,"Cualquier bien, ya sea en estado natural o manufacturado, incluso si se ha incorporado en otro producto."
PROFESIÓN,"Empleo, facultad u oficio que tiene una persona y ejerce con derecho a retribución."
PUERTA CORTAFUEGO,"Puerta que cumple los criterios de estabilidad, estanqueidad, no emisión de gases inflamables y aislamiento térmico cuando se encuentra sometida al fuego o incendio durante un período de tiempo determinado."
PUERTO,Punto de interfaz de comunicación entre un equipo y su entorno.
PUESTA A TIERRA,"Grupo de elementos conductores equipotenciales, en contacto eléctrico con el suelo o una masa metálica de referencia común, que distribuye las corrientes eléctricas de falla en el suelo o en la masa. Comprende electrodos, conexiones y cables enterrados."
PUNTO CALIENTE,"Punto de conexión que esté trabajando a una temperatura por encima de la normal, generando pérdidas de energía y a veces, riesgo de incendio."
PUNTO NEUTRO,Es el nodo o punto común de un sistema eléctrico polifásico conectado en estrella o el punto medio puesto a tierra de un sistema monofásico.
QUEMADURA,"Conjunto de trastornos tisulares, producidos por el contacto prolongado con llamas o cuerpos de temperatura elevada."
RAYO,"La descarga eléctrica atmosférica o más comúnmente conocida como rayo, es un fenómeno físico que se caracteriza por una transferencia de carga eléctrica de una nube hacia la tierra, de la tierra hacia la nube, entre dos nubes, al interior de una nube o de la nube hacia la ionosfera."
RECEPTOR,Todo equipo o máquina que utiliza la electricidad para un fin particular.
RED EQUIPOTENCIAL,"Conjunto de conductores del sistema de puesta a tierra que no están en contacto con el suelo o terreno y que conectan sistemas eléctricos, equipos o instalaciones con la puesta a tierra."
RED INTERNA,"Es el conjunto de redes, tuberías, accesorios y equipos que integran el sistema de suministro del servicio público al inmueble a partir del medidor. Para edificios de propiedad horizontal o condominios, es aquel sistema de suministro del servicio al inmueble a partir del registro de corte general cuando lo hubiere."
REGLAMENTO TÉCNICO,"Documento en el que se establecen las características de un producto, servicio o los procesos y métodos de producción, con inclusión de las disposiciones administrativas aplicables y cuya observancia es obligatoria."
REQUISITO,"Precepto, condición o prescripción que debe ser cumplida, es decir que su cumplimiento es obligatorio."
RESGUARDO,"Medio de protección que impide o dificulta el acceso de las personas o sus extremidades, a una zona de peligro."
RESISTENCIA DE PUESTA A TIERRA,Es la relación entre el potencial del sistema de puesta a tierra a medir. 
RETIE,Acrónimo del Reglamento Técnico de Instalaciones Eléctricas adoptado por Colombia.
RIESGO DE ELECTROCUCIÓN,Posibilidad de circulación de una corriente eléctrica mortal a través de un ser vivo.
SECCIONADOR,Dispositivo destinado a hacer un corte visible en un circuito eléctrico y está diseñado para que se manipule después de que el circuito se ha abierto por otros medios.
SEGURIDAD,Estado de riesgo aceptable o actitud mental de las personas.
SEÑALIZACIÓN,Conjunto de actuaciones y medios dispuestos para reflejar las advertencias de seguridad en una instalación.
SERVICIO,"Prestación realizada a título profesional o en forma pública, en forma onerosa o no, siempre que no tenga por objeto directo la fabricación de bienes."
SERVICIO PÚBLICO,"Actividad organizada que satisface una necesidad colectiva en forma regular y continua, de acuerdo con un régimen jurídico especial, bien sea que se realice por el Estado directamente o por entes privados."
SERVICIO PÚBLICO DOMICILIARIO DE ENERGÍA ELÉCTRICA,"Es el transporte de energía eléctrica desde las redes regionales de transmisión hasta el domicilio del usuario final, incluida su conexión y medición."
SÍMBOLO,"Imagen o signo que describe una unidad, magnitud o situación determinada y que se utiliza como forma convencional de entendimiento colectivo."
SISTEMA,Conjunto de componentes interrelacionados e interactuantes para llevar a cabo una misión conjunta. Admite ciertos elementos de entrada y produce ciertos elementos de salida en un proceso organizado.
SISTEMA DE EMERGENCIA,"Un sistema de potencia y control destinado a suministrar energía de respaldo a un número limitado de funciones vitales, dirigidas a garantizar la seguridad y protección de la vida humana."
SISTEMA DE POTENCIA AISLADO (IT),"Un sistema con el punto neutro aislado de tierra o conectado a ella a través de una impedancia. Cuenta con un transformador y un monitor de aislamiento. Se utiliza especialmente en centros de atención médica, minas, embarcaciones, vehículos, ferrocarriles y plantas eléctricas."
SISTEMA DE PUESTA A TIERRA (SPT),"Conjunto de elementos conductores continuos de un sistema eléctrico específico, sin interrupciones, que conectan los equipos eléctricos con el terreno o una masa metálica. Comprende la puesta a tierra y la red equipotencial de cables que normalmente no conducen corriente."
SISTEMA DE PUESTA A TIERRA DE PROTECCIÓN,"Conjunto de conexión, encerramiento, canalización, cable y clavija que se acoplan a un equipo eléctrico, para prevenir electrocuciones por contactos con partes metálicas energizadas accidentalmente."
SISTEMA DE PUESTA A TIERRA DE SERVICIO,Es la que pertenece al circuito de corriente; sirve tanto para condiciones de funcionamiento normal como de falla.
SISTEMA DE PUESTA A TIERRA TEMPORAL,"Dispositivo de puesta en cortocircuito y a tierra, para protección del personal que interviene en redes desenergizadas."
SISTEMA ININTERRUPIDO DE POTENCIA (UPS),"Sistema diseñado para suministrar electricidad en forma automática, cuando la fuente de potencia normal no provea la electricidad."
SOBRECARGA,Funcionamiento de un elemento excediendo su capacidad nominal.
SOBRETENSIÓN,"Tensión anormal existente entre dos puntos de una instalación eléctrica, superior a la tensión máxima de operación normal de un dispositivo, equipo o sistema."
SUBESTACIÓN,"Conjunto único de instalaciones, equipos eléctricos y obras complementarias, destinado a la transferencia de energía eléctrica, mediante la transformación de potencia."
SUSCEPTIBILIDAD,"Es la sensibilidad de un dispositivo, equipo o sistema para operar sin degradarse en presencia de una perturbación electromagnética."
TABLERO,"Encerramiento metálico o no metálico donde se alojan elementos tales como aparatos de corte, control, medición, dispositivos de protección, barrajes, para efectos de este reglamento es equivalente a panel, armario o cuadro."
TÉCNICA,Conjunto de procedimientos y recursos que se derivan de aplicaciones prácticas de una o varias ciencias.
TENSIÓN,"La diferencia de potencial eléctrico entre dos conductores, que hace que fluyan electrones por una resistencia. Tensión es una magnitud, cuya unidad es el voltio; un error frecuente es hablar de “voltaje”."
TENSIÓN A TIERRA,"Para circuitos puestos a tierra, la tensión entre un conductor dado y el conductor del circuito puesto a tierra o a la puesta a tierra; para circuitos no puestos a tierra, la mayor tensión entre un conductor dado y algún otro conductor del circuito."
TENSIÓN DE CONTACTO,Diferencia de potencial que durante una falla se presenta entre una estructura metálica puesta a tierra y un punto de la superficie del terreno a una distancia de un metro. Esta distancia horizontal es equivalente a la máxima que se puede alcanzar al extender un brazo.
TENSIÓN DE PASO,"Diferencia de potencial que durante una falla se presenta entre dos puntos de la superficie del terreno, separados por una distancia de un paso (aproximadamente un metro)."
TENSIÓN DE SERVICIO,"Valor de tensión, bajo condiciones normales, en un instante dado y en un nodo del sistema. Puede ser estimado, esperado o medido."
TENSIÓN MÁXIMA DE UN SISTEMA,"Valor de tensión máxima en un punto de un sistema eléctrico, durante un tiempo, bajo condiciones de operación normal."
TENSIÓN MÁXIMA PARA UN EQUIPO,"Tensión máxima para la cual está especificado, sin rebasar el margen de seguridad, en lo que respecta a su aislamiento o a otras características propias del equipo."
TENSIÓN NOMINAL,"Valor convencional de la tensión con el cual se designa un sistema, instalación o equipo y para el que ha sido previsto su funcionamiento y aislamiento. Para el caso de sistemas trifásicos, se considera como tal la tensión entre fases."
TENSIÓN TRANSFERIDA,"Es un caso especial de tensión de contacto, donde un potencial es conducido hasta un punto remoto respecto a la subestación o a una puesta a tierra."
TETANIZACIÓN,Rigidez muscular producida por el paso de una corriente eléctrica.
TIERRA,"Para sistemas eléctricos, es una expresión que generaliza todo lo referente a conexiones con tierra. En temas eléctricos se asocia a suelo, terreno, tierra, masa, chasis, carcasa, armazón, estructura ó tubería de agua. El término “masa” sólo debe utilizarse para aquellos casos en que no es el suelo, como en los aviones, los barcos y los carros."
TIERRA REDUNDANTE,"Conexión especial de conductores de puesta a tierra, para tomacorrientes y equipo eléctrico fijo en áreas de cuidado de pacientes, que interconecta tanto la tubería metálica como el conductor de tierra aislado, con el fin de asegurar la protección de los pacientes contra las corrientes de fuga."
TOMACORRIENTE,"Dispositivo con contactos hembra, diseñado para instalación fija en una estructura o parte de un equipo, cuyo propósito es establecer una conexión eléctrica con una clavija."
TOXICIDAD,"Efecto venenoso producido por un período de exposición a gases, humos o vapores y que puede dar lugar a un daño fisiológico o la muerte."
TRABAJADOR,"Persona que ejecuta un ejercicio de sus habilidades, de manera retribuida y dentro de una organización."
TRABAJO,"Actividad vital del hombre, social y racional, orientada a un fin y un medio de plena realización."
TRABAJOS EN TENSIÓN,"Métodos de trabajo, en los cuales un operario entra en contacto con elementos energizados o entra en la zona de influencia directa del campo electromagnético que este produce, bien sea con una parte de su cuerpo o con herramientas, equipos o los dispositivos que manipula."
TRAMO,"Se define tramo como la fracción de red comprendida entre dos puntos significativos, se caracteriza principalmente por ser aéreo o subterráneo, poseer una longitud determinada y un calibre y  material específico de conductor. "
TRANSFORMACIÓN DE ENERGÍA ELÉCTRICA,"Proceso mediante el cual la energía eléctrica es transformada en otra forma de energía, tal como calor, fuerza motriz, iluminación, luz, sonido, radiación electromagnética."
TRANSMISIÓN DE ENERGÍA ELÉCTRICA,"Transferencia de grandes bloques de energía eléctrica, desde las centrales de generación hasta las áreas de consumo."
TRANSMISOR NACIONAL,Persona que opera y transporta energía eléctrica en el sistema de transmisión nacional o que ha constituido una empresa cuyo objeto es el desarrollo de dichas actividades.
UMBRAL,"Nivel de una señal o concentración de un contaminante, comúnmente aceptado como de no daño al ser humano."
UMBRAL DE PERCEPCIÓN,"Valor mínimo de corriente a partir de la cual es percibida por el 99,5 % de los seres humanos. Se estima en 1,1 miliamperios para los hombres en corriente alterna a 60 Hz."
UMBRAL DE REACCIÓN,Valor mínimo de corriente que causa contracción muscular involuntaria.
UMBRAL DE SOLTAR O CORRIENTE LIMITE,"Es el valor máximo de corriente que permite la separación voluntaria de un 99,5% de las personas, cuando sujetando un electrodo bajo tensión con las manos, conserva la posibilidad de soltarlo, mediante la utilización de los mismos músculos que están siendo estimulados por la corriente. Se considera como la máxima corriente segura y se estima en 10 mA para hombres, en corriente alterna."
URGENCIA,Necesidad de trabajo que se presenta fuera de la programación y que permite realizarse cuando se terminen las tareas en ejecución.
USUARIO,"Persona natural o jurídica que se beneficia con la prestación de un servicio público, bien como propietario del inmueble en donde este se presta, o como receptor directo del servicio. A este último usuario se denomina también consumidor."
VANO,Distancia horizontal entre dos apoyos adyacentes de una línea o red.
VECINDAD DEL PACIENTE,"Es el espacio destinado para el examen y tratamiento de pacientes, se define como la distancia horizontal de 1,8 metros desde la cama, silla, mesa u otro dispositivo que soporte al paciente y se extiende hasta una distancia vertical de 2,30 metros sobre el piso."
VIDA ÚTIL,Tiempo durante el cual un bien cumple la función para la que fue concebido.
ZONA DE SERVIDUMBRE,"Es una franja de terreno que se deja sin obstáculos a lo largo de una línea de transporte de energía eléctrica, como margen de seguridad para la construcción, operación y mantenimiento de dicha línea, así como para tener una interrelación segura con el entorno."
