Name,Descripción,Enlace
INTERRUPTOR AUTOMÁTICO,Dispositivo diseñado para que abra el circuito automáticamente cuando se produzca una sobrecorriente predeterminada.,/taxonomy/term/206/definition
INTERRUPTOR DE FALLA A TIERRA,"Interruptor diferencial accionado por corrientes de fuga a tierra, cuya función es interrumpir la corriente hacia la carga cuando se excede algún valor determinado por la soportabilidad de las personas.",/taxonomy/term/207/definition
INTERRUPTOR DE USO GENERAL,"Dispositivo para abrir y cerrar o para conmutar la conexión de un circuito, diseñado para ser operado manualmente, cumple funciones de control y no de protección.",/taxonomy/term/208/definition
INTERRUPTOR DIFERENCIAL,Aparato encargado de proteger a personas y cosas contra los contactos indirectos.,/taxonomy/term/209/definition
KILOVATIO HORA (KWH),Es la unidad de energía eléctrica y se utiliza para medir el consumo de energía activa. Equivale al consumo de un artefacto de 1.000 W de potencia durante una hora.,/taxonomy/term/210/definition
KILOVOLTAMPERIO (KVA),Unidad de potencia aparente que equivale a 1.000 voltamperios.,/taxonomy/term/211/definition
KILOVOLTAMPERIO REACTIVO (KVAR),Unidad de potencia reactiva que equivale a 1.000 voltamperios reactivos.,/taxonomy/term/212/definition
LABORATORIO DE METROLOGÍA,Laboratorio que reúne la competencia e idoneidad necesarias para determinar la aptitud o funcionamiento de equipos de medición.,/taxonomy/term/213/definition
LABORATORIO DE PRUEBA Y ENSAYOS,"Laboratorio nacional, extranjero o internacional, que posee la competencia e idoneidad necesarias para llevar a cabo en forma general la determinación de las características, aptitud o funcionamiento de materiales o productos.",/taxonomy/term/214/definition
LÁMPARA INCANDESCENTE,Elemento emisor de luz constituido por un fi lamento en alto vacío.,/taxonomy/term/215/definition
LÁMPARA FLUORESCENTE,Es una lámpara eléctrica cargada con un gas inerte (comúnmente neón). Emite luz visible por el paso de la corriente eléctrica a través de ella.,/taxonomy/term/216/definition
LESIÓN,Perjuicio fisiológico sufrido por una persona.,/taxonomy/term/217/definition
LEVANTAMIENTO DE EQUIPOS DE MEDIDA,"Acción por la cual se desconecta un equipo de medida para su comprobación, sustitución o baja.",/taxonomy/term/218/definition
LEY DE FARADAY,"""Si un campo magnético variable atraviesa el interior de una espiral se obtendrá en esta una corriente eléctrica"".",/taxonomy/term/219/definition
LIMITADOR,"También llamado interruptor de control de potencia (i.c.p.). Limita la potencia máxima que se puede utilizar en un suministro, de acuerdo con el contrato.",/taxonomy/term/220/definition
LÍMITE DE APROXIMACIÓN RESTRINGIDA,Es la distancia mínima hasta la cual el personal calificado puede situarse sin llevar los elementos de protección personal certificados contra riesgo por arco eléctrico.,/taxonomy/term/221/definition
LÍMITE DE APROXIMACIÓN SEGURA,"Es la distancia mínima, desde el punto energizado más accesible del equipo, hasta la cual el personal no calificado puede situarse sin riesgo de exposición al arco eléctrico.",/taxonomy/term/222/definition
LÍMITE DE APROXIMACIÓN TÉCNICA,Es la distancia mínima en la cual solo el personal calificado que lleva elementos de protección personal certificados contra arco eléctrico realiza trabajos en la zona de influencia directa de las partes energizadas de un equipo.,/taxonomy/term/223/definition
LÍNEA DE TRANSMISIÓN,"Un sistema de conductores y sus accesorios, para el transporte de energía eléctrica, desde una planta de generación o una subestación a otra subestación. Un circuito teórico equivalente que representa una línea de energía o de comunicaciones.",/taxonomy/term/224/definition
LÍNEA ELÉCTRICA,"Conjunto compuesto por conductores, aisladores, estructuras y accesorios destinados al transporte de energía eléctrica.",/taxonomy/term/225/definition
LÍNEA MUERTA,Término aplicado a una línea sin tensión o desenergizada.,/taxonomy/term/226/definition
LÍNEA REPARTIDORA,Parte de la instalación en baja tensión que enlaza una caja general de protección con las derivaciones individuales que alimenta.,/taxonomy/term/227/definition
LÍNEA VIVA,Término aplicado a una línea con tensión o línea energizada.,/taxonomy/term/228/definition
LOTE,"Cantidad determinada de elementos de características similares, que son fabricados bajo condiciones de producción presumiblemente uniformes, que se someten a inspección como un conjunto unitario.",/taxonomy/term/229/definition
LUGAR O LOCAL HÚMEDO,"Sitios interiores o exteriores parcialmente protegidos, sometidos a un grado moderado de humedad, cuyas condiciones ambientales se manifiestan momentáneamente o permanentemente.",/taxonomy/term/230/definition
LUGAR (CLASIFICADO) PELIGROSO,"Aquella zona donde están o pueden estar presentes gases o vapores inflamables, polvos combustibles o partículas volátiles de fácil inflamación.",/taxonomy/term/231/definition
LUMEN,Unidad de medida que cuantifica la cantidad de luz emitida por una fuente de iluminación.,/taxonomy/term/232/definition
LUMINANCIA,"Es el flujo reflejado por los cuerpos, o el flujo emitido si un objeto se considera fuente de luz. También llamado brillo fotométrico. Su unidad es la candela por metro cuadrado.",/taxonomy/term/233/definition
LUMINARIA,"Componente mecánico y óptico de un sistema de alumbrado que proyecta, filtra y distribuye los rayos luminosos, además de alojar y proteger los elementos requeridos para la iluminación.",/taxonomy/term/234/definition
MANIOBRA,Conjunto de procedimientos tendientes a operar una red eléctrica en forma segura.,/taxonomy/term/235/definition
MANTENIMIENTO,"Conjunto de acciones o procedimientos tendientes a preservar o restablecer un bien, a un estado tal que le permita garantizar la máxima confiabilidad.",/taxonomy/term/236/definition
MÁQUINA,"Conjunto de mecanismos accionados por una forma de energía, para transformarla en otra más apropiada a un efecto dado.",/taxonomy/term/237/definition
MASA,"Conjunto de partes metálicas de un equipo, que en condiciones normales, están aisladas de las partes activas y se toma como referencia para las señales y tensiones de un circuito electrónico. Las masas pueden estar o no estar conectadas a tierra.",/taxonomy/term/238/definition
MATERIAL,"Cualquier sustancia, insumo, parte o repuesto que se transforma con su primer uso o se incorpora a un bien como parte de él.",/taxonomy/term/239/definition
MATERIAL AISLANTE,"Material que impide la propagación de algún fenómeno físico, (Aislante eléctrico, material dieléctrico que se emplea para impedir el paso de cargas eléctricas. Aislante térmico, material que impide el paso de calor).",/taxonomy/term/240/definition
MATERIAL CONDUCTOR,Cuerpo por el que circula con facilidad la corriente eléctrica.,/taxonomy/term/241/definition
MEDIA TENSIÓN,Valores de tensión comprendidos entre 11.400 voltios y 34.500 voltios.,/taxonomy/term/242/definition
MÉTODO,"Modo de decir o hacer con orden una cosa. Procedimiento o técnica para realizar un análisis, un estudio o una actividad.",/taxonomy/term/243/definition
MÉTODO ELECTROGEOMÉTRICO,"Procedimiento que permite establecer cual es el volumen de cubrimiento de protección contra rayos de una estructura para una corriente dada, según la posición y la altura de la estructura considerada como pararrayos.",/taxonomy/term/244/definition
METROLOGÍA,Ciencia de la medición. Incluye aspectos teóricos y prácticos.,/taxonomy/term/245/definition
MODELO,"Procedimiento matemático que permite simular la evolución de variables y propiedades de un sistema, durante el desarrollo de un fenómeno físico o químico. Representación abstracta de un sistema.",/taxonomy/term/246/definition
MONITOR DE AISLAMIENTO,"Es un aparato o conjunto de aparatos que vigila la impedancia balanceada o no balanceada de cada fase de un circuito aislado de tierra y equipado con un circuito de prueba que acciona una alarma cuando la corriente de fuga supere el valor de referencia, sin disparar el circuito.",/taxonomy/term/247/definition
MONITOREO DEL CONDUCTOR DE TIERRA,Acción de verificar la continuidad del conductor de puesta a tierra de las instalaciones.,/taxonomy/term/248/definition
MONOFÁSICO,Suministro de energía eléctrica que se realiza con una fase y un neutro (110 voltios).,/taxonomy/term/249/definition
MOTOR ELÉCTRICO,"El motor eléctrico permite la transformación de energía eléctrica en energía mecánica, esto se logra mediante la rotación de un campo magnético alrededor de una espira o bobinado que toma diferentes formas.",/taxonomy/term/250/definition
MUERTE APARENTE O MUERTE CLINICA,Estado que se presenta cuando una persona deja de respirar y/o su corazón no bombea sangre.,/taxonomy/term/251/definition
MUERTO,"Ser sin vida. También se aplica a un dispositivo enterrado en el suelo, cuyo fin es servir de punto de anclaje fijo.",/taxonomy/term/252/definition
MUESTRA,"Grupo de unidades extraídas de un lote el cual sirve para obtener la información necesaria, que permita apreciar una o más características de ese lote, además servirán de base para una decisión sobre el mismo o sobre el proceso que lo produjo.",/taxonomy/term/253/definition
NECROSIS ELÉCTRICA,Tipo de quemadura con muerte de tejidos.,/taxonomy/term/254/definition
NEUTRO,"Conductor eléctrico conectado intencionalmente a una puesta a tierra, bien sólidamente o a través de una impedancia limitadora.",/taxonomy/term/255/definition
NIVEL DE RIESGO,"Equivale a grado de riesgo. Es el resultado de la valoración conjunta de la probabilidad de ocurrencia de los accidentes, de la gravedad de sus efectos y de la vulnerabilidad del medio.",/taxonomy/term/256/definition
NIVEL DE TENSIÓN,"Los sistemas de Transmisión Regional y/o Distribución Local se clasifican por niveles, en función de la tensión nominal de operación, según la siguiente definición:
 NIVEL DE TENSIÓN I: Sistemas con tensión nominal menor a 1 kV
 NIVEL DE TENSIÓN II: Sistemas con tensión nominal mayor o igual a 1 kV y menor de 30 kV.
 NIVEL DE TENSIÓN III: Sistemas con tensión nominal mayor o igual a 30 kV y menor de 62 kV. 
 NIVEL DE TENSIÓN IV: Sistemas con tensión nominal mayor o igual a 62 kV.",/taxonomy/term/257/definition
NODO,Parte de un circuito en el cual dos o más elementos tienen una conexión común.,/taxonomy/term/258/definition
NOMINAL,"Término aplicado a una característica de operación, indica los límites de diseño de esa característica para los cuales presenta las mejores condiciones de operación. Los límites siempre están asociados a una norma técnica.",/taxonomy/term/259/definition
NORMA DE SEGURIDAD,Toda acción encaminada a evitar un accidente.,/taxonomy/term/260/definition
NORMA REGIONAL,Documento adoptado por una organización regional de normalización y que se pone a disposición del público.,/taxonomy/term/261/definition
NORMA TÉCNICA,"Documento aprobado por una institución reconocida, que prevé, para un uso común y repetido, reglas, directrices o características para los productos o los procesos y métodos de producción conexos, servicios o procesos, cuya observancia no es obligatoria.",/taxonomy/term/262/definition
NORMA TÉCNICA ARMONIZADA,"Documento aprobado por organismos de normalización de diferentes países, que establece sobre un mismo objeto, la intercambiabilidad de productos, procesos y servicios, o el acuerdo mutuo sobre los resultados de ensayos, o sobre la información suministrada de acuerdo con estas normas.",/taxonomy/term/263/definition
NORMA TÉCNICA COLOMBIANA (NTC),Norma técnica aprobada o adoptada como tal por el organismo nacional de normalización.,/taxonomy/term/264/definition
NORMA TÉCNICA EXTRANJERA,"Norma que se toma en un país como referencia directa o indirecta, pero que fue emitida por otro país.",/taxonomy/term/265/definition
NORMA TÉCNICA INTERNACIONAL,"Documento emitido por una organización internacional de normalización, que se pone a disposición del público.",/taxonomy/term/266/definition
NORMALIZAR,Establecer un orden en una actividad específica.,/taxonomy/term/267/definition
OBJETIVOS LEGÍTIMOS,"Entre otros, la garantía y la seguridad de la vida y la salud humana, animal y vegetal, de su medio ambiente y la prevención de las prácticas que puedan inducir a error a los consumidores, incluyendo asuntos relativos a la identificación de bienes o servicios, considerando entre otros aspectos, cuando corresponda a factores fundamentales de tipo climático, geográfico, tecnológico o de infraestructura o justificación científica.",/taxonomy/term/268/definition
OHMIO,"Unidad de medida de la resistencia eléctrica. Equivale a la resistencia al paso de electricidad que produce un material por el cual circula un flujo de corriente de un amperio, cuando está sometido a una diferencia de potencial de un voltio.",/taxonomy/term/269/definition
OPERADOR DE RED,"Empresa de Servicios Públicos encargada de la planeación, de la expansión y de las inversiones, operación y mantenimiento de todo o parte de un Sistema de Transmisión Regional o un Sistema de Distribución Local.",/taxonomy/term/270/definition
ORGANISMO DE ACREDITACIÓN,"Entidad gubernamental que acredita y supervisa los organismos de certificación, los laboratorios de pruebas y ensayo y de metrología que hagan parte del sistema nacional de normalización, certificación y metrología.",/taxonomy/term/271/definition
ORGANISMO DE CERTIFICACIÓN,"Entidad Imparcial, pública o privada, nacional, extranjera o internacional, que posee la competencia y la confiabilidad necesarias para administrar un sistema de certificación, consultando los intereses generales.",/taxonomy/term/272/definition
ORGANISMO DE INSPECCIÓN,"Entidad que ejecuta actividades de medición, ensayo o comparación con un patrón o documento de referencia de un proceso, un producto, una instalación o una organización y confrontar los resultados con unos requisitos especificados.",/taxonomy/term/273/definition
ORGANISMO NACIONAL DE NORMALIZACIÓN,"Entidad reconocida por el gobierno nacional, cuya función principal es la elaboración, adopción y publicación de las normas técnicas nacionales y la adopción como tales de las normas elaboradas por otros entes.",/taxonomy/term/274/definition
PARARRAYOS,"Elemento metálico resistente a la corrosión, cuya función es interceptar los rayos que podrían impactar directamente sobre la instalación a proteger. Más técnicamente se denomina terminal de captación.",/taxonomy/term/275/definition
PATRÓN,"Medida materializada, aparato de medición o sistema de medición destinado a definir, realizar, conservar o reproducir una unidad o uno o varios valores conocidos de una magnitud para trasmitirlos por comparación a otros instrumentos de medición.",/taxonomy/term/276/definition
PCB,"Bifenilo policlorado, aquellos clorobifenilos que tienen la fórmula molecular C12H10-nCln donde n es mayor que 1. Conocido comúnmente como Askarel.",/taxonomy/term/277/definition
PELIGRO,"Condición no controlada que tiene el potencial de causar lesiones a personas, daños a instalaciones o afectaciones al medio ambiente.",/taxonomy/term/278/definition
PELIGRO INMINENTE,"Para efectos de interpretación y aplicación del RETIE, alto riesgo será equivalente a peligro inminente; entendido como aquella condición del entorno o práctica irregular, cuya frecuencia esperada y severidad de sus efectos puedan comprometer fisiológicamente el cuerpo humano en forma grave (quemaduras, impactos, paro cardíaco, paro respiratorio, fibrilación o pérdida de funciones); o afectar el entorno de la instalación eléctrica (contaminación, incendio o explosión). En general, se puede presentar por:
• Deficiencias en la instalación eléctrica.
• Práctica indebida de la electrotecnia.",/taxonomy/term/279/definition
PERSONA,"Ser racional libre, autónomo, con autoridad propia, orientado a fines específicos, que por el más íntimo dominio de su libertad es dueña de sí misma y, en consecuencia, responsable de sus propias acciones. La persona se define en el orden práctico como ser libre, que en cuanto tiene unos fines que cumplir, es un ser responsable. El destino de la persona humana, por tanto, está inscrito en su propia naturaleza y no es otro que el de llevar a su máxima perfección las potencias que lo constituyen como persona humana. Sus rasgos característicos son: la individualidad, la racionalidad y la dignidad. // El individuo humano, hecho a semejanza de Dios, no algo sino alguien, una unidad de espíritu y materia, alma y cuerpo, capaz de conocimiento.",/taxonomy/term/280/definition
PERSONA CALIFICADA,"Persona natural que demuestre su formación profesional en el conocimiento de la electrotecnia y los riesgos asociados a la electricidad y además, cuente con matrícula profesional, certificado de inscripción profesional, o certificado de matricula profesional, que según la normatividad legal vigente, lo autorice o acredite para el ejercicio de la profesión.",/taxonomy/term/281/definition
PERSONA JURIDICA,"Sujeto susceptible de adquirir y ejercer derechos y de aceptar y cumplir obligaciones, ya lo sea por sí o por representante.",/taxonomy/term/282/definition
PERTURBACIÓN ELECTROMAGNÉTICA,Cualquier fenómeno electromagnético que puede degradar las características de desempeño de un equipo o sistema.,/taxonomy/term/283/definition
PISO CONDUCTIVO,Arreglo de material conductivo de un lugar que sirve como medio de conexión eléctrica entre personas y objetos para prevenir la acumulación de cargas electrostáticas.,/taxonomy/term/284/definition
PLANO ELECTRICO,Representación gráfica de las características de diseño y las especificaciones para construcción o montaje de equipos y obras eléctricas.,/taxonomy/term/285/definition
POTENCIA ACTIVA,Potencia total absorbida por un receptor.,/taxonomy/term/286/definition
POTENCIA APARENTE,Potencia útil absorbida por un receptor.,/taxonomy/term/287/definition
POTENCIA DEMANDADA,Aquella alcanzada por un suministro durante un período determinado.,/taxonomy/term/288/definition
POTENCIA ELÉCTRICA,"Tasa de producción, transmisión o utilización de energía eléctrica, generalmente expresada en vatios.",/taxonomy/term/289/definition
POTENCIA INSTALADA,"Suma de potencias nominales de máquinas de la misma clase (generadores, transformadores, convertidores, motores) en una instalación eléctrica.",/taxonomy/term/290/definition
POTENCIA MÁXIMA,Valor máximo de la carga que puede ser mantenida durante tiempo especificado. Potencia útil absorbida por un receptor.,/taxonomy/term/291/definition
POTENCIA REAL,Parte de la potencia aparente que produce trabajo. Comercialmente se mide en KW.,/taxonomy/term/292/definition
POTENCIA REAL,Parte de la potencia aparente que produce trabajo. Comercialmente se mide en KW.,/taxonomy/term/293/definition
PRECAUCIÓN,Actitud de cautela para evitar o prevenir los daños que puedan presentarse al ejecutar una acción.,/taxonomy/term/294/definition
PREVENCIÓN,Evaluación predictiva de los riesgos y sus consecuencias. Conocimiento a priori para controlar los riesgos. Acciones para eliminar la probabilidad de un accidente.,/taxonomy/term/295/definition
PREVISIÓN,"Anticipación y adopción de medidas ante la posible ocurrencia de un suceso, en función de los indicios observados y de la experiencia.",/taxonomy/term/296/definition
PRIMEROS AUXILIOS,"Todos los cuidados inmediatos y adecuados, pero provisionales, que se prestan a alguien accidentado o con enfermedad repentina, para conservarle la vida.",/taxonomy/term/297/definition
PROCESO DE TRANSFORMACIÓN,"Proceso en el cual los parámetros de la potencia eléctrica son modificados, por los equipos de una subestación.",/taxonomy/term/298/definition
PRODUCTO,"Cualquier bien, ya sea en estado natural o manufacturado, incluso si se ha incorporado en otro producto.",/taxonomy/term/299/definition
PROFESIÓN,"Empleo, facultad u oficio que tiene una persona y ejerce con derecho a retribución.",/taxonomy/term/300/definition
PUERTA CORTAFUEGO,"Puerta que cumple los criterios de estabilidad, estanqueidad, no emisión de gases inflamables y aislamiento térmico cuando se encuentra sometida al fuego o incendio durante un período de tiempo determinado.",/taxonomy/term/301/definition
PUERTO,Punto de interfaz de comunicación entre un equipo y su entorno.,/taxonomy/term/302/definition
PUESTA A TIERRA,"Grupo de elementos conductores equipotenciales, en contacto eléctrico con el suelo o una masa metálica de referencia común, que distribuye las corrientes eléctricas de falla en el suelo o en la masa. Comprende electrodos, conexiones y cables enterrados.",/taxonomy/term/303/definition
PUNTO CALIENTE,"Punto de conexión que esté trabajando a una temperatura por encima de la normal, generando pérdidas de energía y a veces, riesgo de incendio.",/taxonomy/term/304/definition
PUNTO NEUTRO,Es el nodo o punto común de un sistema eléctrico polifásico conectado en estrella o el punto medio puesto a tierra de un sistema monofásico.,/taxonomy/term/305/definition
QUEMADURA,"Conjunto de trastornos tisulares, producidos por el contacto prolongado con llamas o cuerpos de temperatura elevada.",/taxonomy/term/306/definition
RAYO,"La descarga eléctrica atmosférica o más comúnmente conocida como rayo, es un fenómeno físico que se caracteriza por una transferencia de carga eléctrica de una nube hacia la tierra, de la tierra hacia la nube, entre dos nubes, al interior de una nube o de la nube hacia la ionosfera.",/taxonomy/term/307/definition
RECEPTOR,Todo equipo o máquina que utiliza la electricidad para un fin particular.,/taxonomy/term/308/definition
RED EQUIPOTENCIAL,"Conjunto de conductores del sistema de puesta a tierra que no están en contacto con el suelo o terreno y que conectan sistemas eléctricos, equipos o instalaciones con la puesta a tierra.",/taxonomy/term/309/definition
RED INTERNA,"Es el conjunto de redes, tuberías, accesorios y equipos que integran el sistema de suministro del servicio público al inmueble a partir del medidor. Para edificios de propiedad horizontal o condominios, es aquel sistema de suministro del servicio al inmueble a partir del registro de corte general cuando lo hubiere.",/taxonomy/term/310/definition
REGLAMENTO TÉCNICO,"Documento en el que se establecen las características de un producto, servicio o los procesos y métodos de producción, con inclusión de las disposiciones administrativas aplicables y cuya observancia es obligatoria.",/taxonomy/term/311/definition
REQUISITO,"Precepto, condición o prescripción que debe ser cumplida, es decir que su cumplimiento es obligatorio.",/taxonomy/term/312/definition
RESGUARDO,"Medio de protección que impide o dificulta el acceso de las personas o sus extremidades, a una zona de peligro.",/taxonomy/term/313/definition
RESISTENCIA DE PUESTA A TIERRA,Es la relación entre el potencial del sistema de puesta a tierra a medir.,/taxonomy/term/314/definition
RETIE,Acrónimo del Reglamento Técnico de Instalaciones Eléctricas adoptado por Colombia.,/taxonomy/term/315/definition
RIESGO DE ELECTROCUCIÓN,Posibilidad de circulación de una corriente eléctrica mortal a través de un ser vivo.,/taxonomy/term/316/definition
SECCIONADOR,Dispositivo destinado a hacer un corte visible en un circuito eléctrico y está diseñado para que se manipule después de que el circuito se ha abierto por otros medios.,/taxonomy/term/317/definition
SEGURIDAD,Estado de riesgo aceptable o actitud mental de las personas.,/taxonomy/term/318/definition
SEÑALIZACIÓN,Conjunto de actuaciones y medios dispuestos para reflejar las advertencias de seguridad en una instalación.,/taxonomy/term/319/definition
SERVICIO,"Prestación realizada a título profesional o en forma pública, en forma onerosa o no, siempre que no tenga por objeto directo la fabricación de bienes.",/taxonomy/term/320/definition
SERVICIO PÚBLICO,"Actividad organizada que satisface una necesidad colectiva en forma regular y continua, de acuerdo con un régimen jurídico especial, bien sea que se realice por el Estado directamente o por entes privados.",/taxonomy/term/321/definition
SERVICIO PÚBLICO DOMICILIARIO DE ENERGÍA ELÉCTRICA,"Es el transporte de energía eléctrica desde las redes regionales de transmisión hasta el domicilio del usuario final, incluida su conexión y medición.",/taxonomy/term/322/definition
SÍMBOLO,"Imagen o signo que describe una unidad, magnitud o situación determinada y que se utiliza como forma convencional de entendimiento colectivo.",/taxonomy/term/323/definition
SISTEMA,Conjunto de componentes interrelacionados e interactuantes para llevar a cabo una misión conjunta. Admite ciertos elementos de entrada y produce ciertos elementos de salida en un proceso organizado.,/taxonomy/term/324/definition
SISTEMA DE EMERGENCIA,"Un sistema de potencia y control destinado a suministrar energía de respaldo a un número limitado de funciones vitales, dirigidas a garantizar la seguridad y protección de la vida humana.",/taxonomy/term/325/definition
SISTEMA DE POTENCIA AISLADO (IT),"Un sistema con el punto neutro aislado de tierra o conectado a ella a través de una impedancia. Cuenta con un transformador y un monitor de aislamiento. Se utiliza especialmente en centros de atención médica, minas, embarcaciones, vehículos, ferrocarriles y plantas eléctricas.",/taxonomy/term/326/definition
SISTEMA DE PUESTA A TIERRA (SPT),"Conjunto de elementos conductores continuos de un sistema eléctrico específico, sin interrupciones, que conectan los equipos eléctricos con el terreno o una masa metálica. Comprende la puesta a tierra y la red equipotencial de cables que normalmente no conducen corriente.",/taxonomy/term/327/definition
SISTEMA DE PUESTA A TIERRA DE PROTECCIÓN,"Conjunto de conexión, encerramiento, canalización, cable y clavija que se acoplan a un equipo eléctrico, para prevenir electrocuciones por contactos con partes metálicas energizadas accidentalmente.",/taxonomy/term/328/definition
SISTEMA DE PUESTA A TIERRA DE SERVICIO,Es la que pertenece al circuito de corriente; sirve tanto para condiciones de funcionamiento normal como de falla.,/taxonomy/term/329/definition
SISTEMA DE PUESTA A TIERRA TEMPORAL,"Dispositivo de puesta en cortocircuito y a tierra, para protección del personal que interviene en redes desenergizadas.",/taxonomy/term/330/definition
SISTEMA ININTERRUPIDO DE POTENCIA (UPS),"Sistema diseñado para suministrar electricidad en forma automática, cuando la fuente de potencia normal no provea la electricidad.",/taxonomy/term/331/definition
SOBRECARGA,Funcionamiento de un elemento excediendo su capacidad nominal.,/taxonomy/term/332/definition
SOBRETENSIÓN,"Tensión anormal existente entre dos puntos de una instalación eléctrica, superior a la tensión máxima de operación normal de un dispositivo, equipo o sistema.",/taxonomy/term/333/definition
SUBESTACIÓN,"Conjunto único de instalaciones, equipos eléctricos y obras complementarias, destinado a la transferencia de energía eléctrica, mediante la transformación de potencia.",/taxonomy/term/334/definition
SUSCEPTIBILIDAD,"Es la sensibilidad de un dispositivo, equipo o sistema para operar sin degradarse en presencia de una perturbación electromagnética.",/taxonomy/term/335/definition
TABLERO,"Encerramiento metálico o no metálico donde se alojan elementos tales como aparatos de corte, control, medición, dispositivos de protección, barrajes, para efectos de este reglamento es equivalente a panel, armario o cuadro.",/taxonomy/term/336/definition
TÉCNICA,Conjunto de procedimientos y recursos que se derivan de aplicaciones prácticas de una o varias ciencias.,/taxonomy/term/337/definition
TENSIÓN,"La diferencia de potencial eléctrico entre dos conductores, que hace que fluyan electrones por una resistencia. Tensión es una magnitud, cuya unidad es el voltio; un error frecuente es hablar de “voltaje”.",/taxonomy/term/338/definition
TENSIÓN A TIERRA,"Para circuitos puestos a tierra, la tensión entre un conductor dado y el conductor del circuito puesto a tierra o a la puesta a tierra; para circuitos no puestos a tierra, la mayor tensión entre un conductor dado y algún otro conductor del circuito.",/taxonomy/term/339/definition
TENSIÓN DE CONTACTO,Diferencia de potencial que durante una falla se presenta entre una estructura metálica puesta a tierra y un punto de la superficie del terreno a una distancia de un metro. Esta distancia horizontal es equivalente a la máxima que se puede alcanzar al extender un brazo.,/taxonomy/term/340/definition
TENSIÓN DE PASO,"Diferencia de potencial que durante una falla se presenta entre dos puntos de la superficie del terreno, separados por una distancia de un paso (aproximadamente un metro).",/taxonomy/term/341/definition
TENSIÓN DE SERVICIO,"Valor de tensión, bajo condiciones normales, en un instante dado y en un nodo del sistema. Puede ser estimado, esperado o medido.",/taxonomy/term/342/definition
TENSIÓN MÁXIMA DE UN SISTEMA,"Valor de tensión máxima en un punto de un sistema eléctrico, durante un tiempo, bajo condiciones de operación normal.",/taxonomy/term/343/definition
TENSIÓN MÁXIMA PARA UN EQUIPO,"Tensión máxima para la cual está especificado, sin rebasar el margen de seguridad, en lo que respecta a su aislamiento o a otras características propias del equipo.",/taxonomy/term/344/definition
TENSIÓN NOMINAL,"Valor convencional de la tensión con el cual se designa un sistema, instalación o equipo y para el que ha sido previsto su funcionamiento y aislamiento. Para el caso de sistemas trifásicos, se considera como tal la tensión entre fases.",/taxonomy/term/345/definition
TENSIÓN TRANSFERIDA,"Es un caso especial de tensión de contacto, donde un potencial es conducido hasta un punto remoto respecto a la subestación o a una puesta a tierra.",/taxonomy/term/346/definition
TETANIZACIÓN,Rigidez muscular producida por el paso de una corriente eléctrica.,/taxonomy/term/347/definition
TIERRA,"Para sistemas eléctricos, es una expresión que generaliza todo lo referente a conexiones con tierra. En temas eléctricos se asocia a suelo, terreno, tierra, masa, chasis, carcasa, armazón, estructura ó tubería de agua. El término “masa” sólo debe utilizarse para aquellos casos en que no es el suelo, como en los aviones, los barcos y los carros.",/taxonomy/term/348/definition
TIERRA REDUNDANTE,"Conexión especial de conductores de puesta a tierra, para tomacorrientes y equipo eléctrico fijo en áreas de cuidado de pacientes, que interconecta tanto la tubería metálica como el conductor de tierra aislado, con el fin de asegurar la protección de los pacientes contra las corrientes de fuga.",/taxonomy/term/349/definition
TOMACORRIENTE,"Dispositivo con contactos hembra, diseñado para instalación fija en una estructura o parte de un equipo, cuyo propósito es establecer una conexión eléctrica con una clavija.",/taxonomy/term/350/definition
TOXICIDAD,"Efecto venenoso producido por un período de exposición a gases, humos o vapores y que puede dar lugar a un daño fisiológico o la muerte.",/taxonomy/term/351/definition
TRABAJADOR,"Persona que ejecuta un ejercicio de sus habilidades, de manera retribuida y dentro de una organización.",/taxonomy/term/352/definition
TRABAJO,"Actividad vital del hombre, social y racional, orientada a un fin y un medio de plena realización.",/taxonomy/term/353/definition
TRABAJOS EN TENSIÓN,"Métodos de trabajo, en los cuales un operario entra en contacto con elementos energizados o entra en la zona de influencia directa del campo electromagnético que este produce, bien sea con una parte de su cuerpo o con herramientas, equipos o los dispositivos que manipula.",/taxonomy/term/354/definition
TRAMO,"Se define tramo como la fracción de red comprendida entre dos puntos significativos, se caracteriza principalmente por ser aéreo o subterráneo, poseer una longitud determinada y un calibre y  material específico de conductor.",/taxonomy/term/355/definition
TRANSFORMACIÓN DE ENERGÍA ELÉCTRICA,"Proceso mediante el cual la energía eléctrica es transformada en otra forma de energía, tal como calor, fuerza motriz, iluminación, luz, sonido, radiación electromagnética.",/taxonomy/term/356/definition
TRANSMISIÓN DE ENERGÍA ELÉCTRICA,"Transferencia de grandes bloques de energía eléctrica, desde las centrales de generación hasta las áreas de consumo.",/taxonomy/term/357/definition
TRANSMISOR NACIONAL,Persona que opera y transporta energía eléctrica en el sistema de transmisión nacional o que ha constituido una empresa cuyo objeto es el desarrollo de dichas actividades.,/taxonomy/term/358/definition
UMBRAL,"Nivel de una señal o concentración de un contaminante, comúnmente aceptado como de no daño al ser humano.",/taxonomy/term/359/definition
UMBRAL DE PERCEPCIÓN,"Valor mínimo de corriente a partir de la cual es percibida por el 99,5 % de los seres humanos. Se estima en 1,1 miliamperios para los hombres en corriente alterna a 60 Hz.",/taxonomy/term/360/definition
UMBRAL DE REACCIÓN,Valor mínimo de corriente que causa contracción muscular involuntaria.,/taxonomy/term/361/definition
